customer_id,acquisition_channel,signup_month,cac
1,Referral,2023-01-01,166.4
2,Outbound,2023-01-01,783.03
3,Content,2023-01-01,126.42
4,Partners,2023-01-01,260.14
5,Content,2023-01-01,281.2
6,Content,2023-01-01,110.72
7,Partners,2023-01-01,411.45
8,Content,2023-01-01,167.87
9,Outbound,2023-01-01,383.0
10,Content,2023-01-01,90.37
11,Paid Search,2023-01-01,263.99
12,Content,2023-01-01,164.65
13,Partners,2023-01-01,335.19
14,Partners,2023-01-01,154.02
15,Paid Search,2023-01-01,414.79
16,Referral,2023-02-01,101.03
17,Referral,2023-02-01,118.06
18,Referral,2023-02-01,164.29
19,Partners,2023-02-01,454.68
20,Referral,2023-02-01,126.15
21,Outbound,2023-02-01,757.51
22,Partners,2023-02-01,472.85
23,Paid Search,2023-02-01,395.44
24,Paid Search,2023-02-01,551.49
25,Referral,2023-02-01,86.13
26,Partners,2023-02-01,179.98
27,Content,2023-02-01,295.16
28,Partners,2023-02-01,194.94
29,Content,2023-02-01,116.33
30,Partners,2023-02-01,298.1
31,Outbound,2023-02-01,753.16
32,Outbound,2023-02-01,539.4
33,Referral,2023-02-01,127.64
34,Paid Search,2023-02-01,225.61
35,Paid Search,2023-02-01,292.05
36,Outbound,2023-02-01,724.7
37,Paid Search,2023-02-01,562.17
38,Referral,2023-02-01,85.7
39,Content,2023-02-01,109.11
40,Partners,2023-02-01,235.05
41,Content,2023-02-01,121.89
42,Paid Search,2023-02-01,341.72
43,Content,2023-03-01,240.4
44,Paid Search,2023-03-01,491.29
45,Paid Search,2023-03-01,276.08
46,Content,2023-03-01,120.37
47,Content,2023-03-01,283.12
48,Content,2023-03-01,268.31
49,Paid Search,2023-03-01,599.71
50,Paid Search,2023-03-01,570.55
51,Outbound,2023-03-01,591.38
52,Outbound,2023-03-01,841.47
53,Outbound,2023-03-01,891.19
54,Referral,2023-03-01,167.77
55,Referral,2023-03-01,193.6
56,Partners,2023-03-01,320.33
57,Outbound,2023-03-01,881.23
58,Partners,2023-03-01,171.34
59,Referral,2023-03-01,137.63
60,Partners,2023-03-01,335.89
61,Paid Search,2023-03-01,232.04
62,Outbound,2023-03-01,340.78
63,Outbound,2023-03-01,864.96
64,Partners,2023-03-01,358.08
65,Partners,2023-03-01,380.08
66,Partners,2023-03-01,477.15
67,Outbound,2023-03-01,488.51
68,Referral,2023-03-01,150.75
69,Referral,2023-03-01,189.35
70,Paid Search,2023-03-01,448.46
71,Partners,2023-03-01,175.64
72,Outbound,2023-03-01,379.47
73,Referral,2023-03-01,181.89
74,Referral,2023-03-01,115.73
75,Partners,2023-03-01,364.09
76,Partners,2023-03-01,435.99
77,Referral,2023-03-01,65.54
78,Outbound,2023-03-01,833.83
79,Partners,2023-03-01,248.61
80,Outbound,2023-03-01,422.16
