customer_id,month,plan_id,mrr
1,2023-01-01,3.0,200
2,2023-01-01,2.0,100
3,2023-01-01,1.0,50
4,2023-01-01,,0
5,2023-01-01,1.0,50
6,2023-01-01,1.0,50
7,2023-01-01,1.0,50
8,2023-01-01,2.0,100
9,2023-01-01,3.0,200
10,2023-01-01,1.0,50
11,2023-01-01,1.0,50
12,2023-01-01,1.0,50
13,2023-01-01,,0
14,2023-01-01,2.0,100
15,2023-01-01,2.0,100
1,2023-02-01,3.0,200
2,2023-02-01,2.0,100
3,2023-02-01,1.0,50
5,2023-02-01,1.0,50
6,2023-02-01,1.0,50
7,2023-02-01,1.0,50
8,2023-02-01,2.0,100
9,2023-02-01,3.0,200
10,2023-02-01,1.0,50
11,2023-02-01,1.0,50
12,2023-02-01,1.0,50
14,2023-02-01,2.0,100
15,2023-02-01,2.0,100
16,2023-02-01,2.0,100
17,2023-02-01,1.0,50
18,2023-02-01,3.0,200
19,2023-02-01,3.0,200
20,2023-02-01,2.0,100
21,2023-02-01,1.0,50
22,2023-02-01,,0
23,2023-02-01,1.0,50
24,2023-02-01,3.0,200
25,2023-02-01,1.0,50
26,2023-02-01,3.0,200
27,2023-02-01,,0
28,2023-02-01,2.0,100
29,2023-02-01,3.0,200
30,2023-02-01,2.0,100
31,2023-02-01,3.0,200
32,2023-02-01,2.0,100
33,2023-02-01,1.0,50
34,2023-02-01,1.0,50
35,2023-02-01,1.0,50
36,2023-02-01,1.0,50
37,2023-02-01,1.0,50
38,2023-02-01,1.0,50
39,2023-02-01,1.0,50
40,2023-02-01,1.0,50
41,2023-02-01,2.0,100
42,2023-02-01,,0
1,2023-03-01,3.0,200
2,2023-03-01,3.0,200
3,2023-03-01,1.0,50
5,2023-03-01,1.0,50
6,2023-03-01,1.0,50
7,2023-03-01,1.0,50
8,2023-03-01,2.0,100
9,2023-03-01,3.0,200
10,2023-03-01,1.0,50
11,2023-03-01,1.0,50
12,2023-03-01,1.0,50
14,2023-03-01,2.0,100
15,2023-03-01,1.0,50
16,2023-03-01,2.0,100
17,2023-03-01,2.0,100
18,2023-03-01,3.0,200
19,2023-03-01,3.0,200
20,2023-03-01,3.0,200
21,2023-03-01,1.0,50
23,2023-03-01,1.0,50
24,2023-03-01,3.0,200
25,2023-03-01,1.0,50
26,2023-03-01,3.0,200
28,2023-03-01,2.0,100
29,2023-03-01,3.0,200
30,2023-03-01,2.0,100
31,2023-03-01,3.0,200
32,2023-03-01,2.0,100
33,2023-03-01,1.0,50
34,2023-03-01,1.0,50
35,2023-03-01,1.0,50
36,2023-03-01,1.0,50
37,2023-03-01,1.0,50
38,2023-03-01,1.0,50
39,2023-03-01,1.0,50
40,2023-03-01,1.0,50
41,2023-03-01,2.0,100
43,2023-03-01,1.0,50
44,2023-03-01,1.0,50
45,2023-03-01,1.0,50
46,2023-03-01,1.0,50
47,2023-03-01,1.0,50
48,2023-03-01,2.0,100
49,2023-03-01,1.0,50
50,2023-03-01,3.0,200
51,2023-03-01,1.0,50
52,2023-03-01,2.0,100
53,2023-03-01,1.0,50
54,2023-03-01,3.0,200
55,2023-03-01,2.0,100
56,2023-03-01,2.0,100
57,2023-03-01,1.0,50
58,2023-03-01,3.0,200
59,2023-03-01,1.0,50
60,2023-03-01,3.0,200
61,2023-03-01,3.0,200
62,2023-03-01,1.0,50
63,2023-03-01,1.0,50
64,2023-03-01,1.0,50
65,2023-03-01,1.0,50
66,2023-03-01,1.0,50
67,2023-03-01,2.0,100
68,2023-03-01,1.0,50
69,2023-03-01,1.0,50
70,2023-03-01,1.0,50
71,2023-03-01,3.0,200
72,2023-03-01,1.0,50
73,2023-03-01,2.0,100
74,2023-03-01,1.0,50
75,2023-03-01,2.0,100
76,2023-03-01,1.0,50
77,2023-03-01,3.0,200
78,2023-03-01,1.0,50
79,2023-03-01,1.0,50
80,2023-03-01,2.0,100
81,2023-03-01,1.0,50
82,2023-03-01,1.0,50
83,2023-03-01,1.0,50
84,2023-03-01,2.0,100
85,2023-03-01,1.0,50
1,2023-04-01,3.0,200
2,2023-04-01,3.0,200
3,2023-04-01,1.0,50
5,2023-04-01,1.0,50
6,2023-04-01,,0
7,2023-04-01,1.0,50
8,2023-04-01,2.0,100
9,2023-04-01,3.0,200
10,2023-04-01,1.0,50
11,2023-04-01,1.0,50
12,2023-04-01,1.0,50
14,2023-04-01,2.0,100
15,2023-04-01,1.0,50
16,2023-04-01,2.0,100
17,2023-04-01,,0
18,2023-04-01,3.0,200
19,2023-04-01,3.0,200
20,2023-04-01,3.0,200
21,2023-04-01,1.0,50
23,2023-04-01,1.0,50
24,2023-04-01,3.0,200
25,2023-04-01,1.0,50
26,2023-04-01,3.0,200
28,2023-04-01,2.0,100
29,2023-04-01,3.0,200
30,2023-04-01,2.0,100
31,2023-04-01,3.0,200
32,2023-04-01,2.0,100
33,2023-04-01,1.0,50
34,2023-04-01,1.0,50
35,2023-04-01,1.0,50
36,2023-04-01,1.0,50
37,2023-04-01,1.0,50
38,2023-04-01,1.0,50
39,2023-04-01,1.0,50
40,2023-04-01,1.0,50
41,2023-04-01,2.0,100
43,2023-04-01,1.0,50
44,2023-04-01,1.0,50
45,2023-04-01,1.0,50
46,2023-04-01,1.0,50
47,2023-04-01,1.0,50
48,2023-04-01,2.0,100
49,2023-04-01,,0
50,2023-04-01,3.0,200
51,2023-04-01,1.0,50
52,2023-04-01,2.0,100
53,2023-04-01,1.0,50
54,2023-04-01,3.0,200
55,2023-04-01,2.0,100
56,2023-04-01,2.0,100
57,2023-04-01,1.0,50
58,2023-04-01,3.0,200
59,2023-04-01,1.0,50
60,2023-04-01,3.0,200
61,2023-04-01,3.0,200
62,2023-04-01,1.0,50
63,2023-04-01,1.0,50
64,2023-04-01,1.0,50
65,2023-04-01,1.0,50
66,2023-04-01,1.0,50
67,2023-04-01,2.0,100
68,2023-04-01,1.0,50
69,2023-04-01,1.0,50
70,2023-04-01,1.0,50
71,2023-04-01,3.0,200
72,2023-04-01,1.0,50
73,2023-04-01,2.0,100
74,2023-04-01,1.0,50
75,2023-04-01,2.0,100
76,2023-04-01,1.0,50
77,2023-04-01,3.0,200
78,2023-04-01,1.0,50
79,2023-04-01,1.0,50
80,2023-04-01,2.0,100
81,2023-04-01,1.0,50
82,2023-04-01,1.0,50
83,2023-04-01,1.0,50
84,2023-04-01,2.0,100
85,2023-04-01,1.0,50
86,2023-04-01,1.0,50
87,2023-04-01,1.0,50
88,2023-04-01,1.0,50
89,2023-04-01,1.0,50
90,2023-04-01,2.0,100
91,2023-04-01,2.0,100
92,2023-04-01,2.0,100
93,2023-04-01,2.0,100
94,2023-04-01,2.0,100
95,2023-04-01,2.0,100
96,2023-04-01,2.0,100
97,2023-04-01,1.0,50
98,2023-04-01,1.0,50
99,2023-04-01,1.0,50
100,2023-04-01,1.0,50
101,2023-04-01,1.0,50
102,2023-04-01,1.0,50
103,2023-04-01,1.0,50
104,2023-04-01,1.0,50
105,2023-04-01,1.0,50
106,2023-04-01,1.0,50
107,2023-04-01,2.0,100
108,2023-04-01,3.0,200
109,2023-04-01,1.0,50
110,2023-04-01,1.0,50
111,2023-04-01,2.0,100
112,2023-04-01,1.0,50
113,2023-04-01,2.0,100
114,2023-04-01,,0
115,2023-04-01,1.0,50
116,2023-04-01,1.0,50
117,2023-04-01,2.0,100
118,2023-04-01,1.0,50
119,2023-04-01,1.0,50
120,2023-04-01,2.0,100
121,2023-04-01,1.0,50
122,2023-04-01,2.0,100
123,2023-04-01,2.0,100
124,2023-04-01,1.0,50
125,2023-04-01,2.0,100
126,2023-04-01,1.0,50
127,2023-04-01,2.0,100
128,2023-04-01,1.0,50
129,2023-04-01,2.0,100
130,2023-04-01,1.0,50
131,2023-04-01,2.0,100
132,2023-04-01,2.0,100
133,2023-04-01,1.0,50
134,2023-04-01,1.0,50
135,2023-04-01,3.0,200
136,2023-04-01,2.0,100
137,2023-04-01,1.0,50
138,2023-04-01,2.0,100
139,2023-04-01,1.0,50
140,2023-04-01,2.0,100
141,2023-04-01,1.0,50
142,2023-04-01,1.0,50
1,2023-05-01,3.0,200
2,2023-05-01,3.0,200
3,2023-05-01,1.0,50
5,2023-05-01,1.0,50
7,2023-05-01,1.0,50
8,2023-05-01,2.0,100
9,2023-05-01,3.0,200
10,2023-05-01,1.0,50
11,2023-05-01,1.0,50
12,2023-05-01,1.0,50
14,2023-05-01,1.0,50
15,2023-05-01,1.0,50
16,2023-05-01,2.0,100
18,2023-05-01,3.0,200
19,2023-05-01,3.0,200
20,2023-05-01,3.0,200
21,2023-05-01,1.0,50
23,2023-05-01,1.0,50
24,2023-05-01,3.0,200
25,2023-05-01,,0
26,2023-05-01,3.0,200
28,2023-05-01,2.0,100
29,2023-05-01,3.0,200
30,2023-05-01,2.0,100
31,2023-05-01,3.0,200
32,2023-05-01,2.0,100
33,2023-05-01,,0
34,2023-05-01,1.0,50
35,2023-05-01,1.0,50
36,2023-05-01,1.0,50
37,2023-05-01,1.0,50
38,2023-05-01,,0
39,2023-05-01,1.0,50
40,2023-05-01,1.0,50
41,2023-05-01,2.0,100
43,2023-05-01,1.0,50
44,2023-05-01,1.0,50
45,2023-05-01,1.0,50
46,2023-05-01,1.0,50
47,2023-05-01,1.0,50
48,2023-05-01,2.0,100
50,2023-05-01,3.0,200
51,2023-05-01,2.0,100
52,2023-05-01,2.0,100
53,2023-05-01,1.0,50
54,2023-05-01,3.0,200
55,2023-05-01,2.0,100
56,2023-05-01,2.0,100
57,2023-05-01,1.0,50
58,2023-05-01,3.0,200
59,2023-05-01,1.0,50
60,2023-05-01,3.0,200
61,2023-05-01,3.0,200
62,2023-05-01,1.0,50
63,2023-05-01,1.0,50
64,2023-05-01,1.0,50
65,2023-05-01,1.0,50
66,2023-05-01,1.0,50
67,2023-05-01,2.0,100
68,2023-05-01,1.0,50
69,2023-05-01,1.0,50
70,2023-05-01,1.0,50
