customer_id,signup_month,acquisition_channel,initial_plan_id
1,2023-01-01,Referral,2
2,2023-01-01,Outbound,2
3,2023-01-01,Content,1
4,2023-01-01,Partners,2
5,2023-01-01,Content,1
6,2023-01-01,Content,1
7,2023-01-01,Partners,1
8,2023-01-01,Content,2
9,2023-01-01,Outbound,3
10,2023-01-01,Content,1
11,2023-01-01,Paid Search,1
12,2023-01-01,Content,1
13,2023-01-01,Partners,3
14,2023-01-01,Partners,2
15,2023-01-01,Paid Search,2
16,2023-02-01,Referral,2
17,2023-02-01,Referral,1
18,2023-02-01,Referral,3
19,2023-02-01,Partners,3
20,2023-02-01,Referral,2
21,2023-02-01,Outbound,1
22,2023-02-01,Partners,3
23,2023-02-01,Paid Search,1
24,2023-02-01,Paid Search,3
25,2023-02-01,Referral,1
26,2023-02-01,Partners,3
27,2023-02-01,Content,2
28,2023-02-01,Partners,2
29,2023-02-01,Content,3
30,2023-02-01,Partners,2
31,2023-02-01,Outbound,3
32,2023-02-01,Outbound,2
33,2023-02-01,Referral,1
34,2023-02-01,Paid Search,1
35,2023-02-01,Paid Search,1
36,2023-02-01,Outbound,1
37,2023-02-01,Paid Search,1
38,2023-02-01,Referral,1
39,2023-02-01,Content,1
40,2023-02-01,Partners,1
41,2023-02-01,Content,2
42,2023-02-01,Paid Search,2
43,2023-03-01,Content,1
44,2023-03-01,Paid Search,1
45,2023-03-01,Paid Search,1
46,2023-03-01,Content,1
47,2023-03-01,Content,1
48,2023-03-01,Content,2
49,2023-03-01,Paid Search,1
50,2023-03-01,Paid Search,3
51,2023-03-01,Outbound,1
52,2023-03-01,Outbound,2
53,2023-03-01,Outbound,1
54,2023-03-01,Referral,3
55,2023-03-01,Referral,1
56,2023-03-01,Partners,2
57,2023-03-01,Outbound,1
58,2023-03-01,Partners,2
59,2023-03-01,Referral,1
60,2023-03-01,Partners,3
61,2023-03-01,Paid Search,3
62,2023-03-01,Outbound,1
63,2023-03-01,Outbound,1
64,2023-03-01,Partners,1
65,2023-03-01,Partners,1
66,2023-03-01,Partners,1
67,2023-03-01,Outbound,2
68,2023-03-01,Referral,1
69,2023-03-01,Referral,1
70,2023-03-01,Paid Search,1
71,2023-03-01,Partners,3
72,2023-03-01,Outbound,1
73,2023-03-01,Referral,2
74,2023-03-01,Referral,1
75,2023-03-01,Partners,2
76,2023-03-01,Partners,1
77,2023-03-01,Referral,3
78,2023-03-01,Outbound,1
79,2023-03-01,Partners,1
80,2023-03-01,Outbound,2
81,2023-03-01,Referral,1
82,2023-03-01,Paid Search,1
83,2023-03-01,Referral,1
84,2023-03-01,Outbound,2
85,2023-03-01,Content,1
86,2023-04-01,Paid Search,1
87,2023-04-01,Outbound,1
88,2023-04-01,Partners,1
89,2023-04-01,Paid Search,1
90,2023-04-01,Paid Search,2
91,2023-04-01,Outbound,2
92,2023-04-01,Partners,2
93,2023-04-01,Partners,2
94,2023-04-01,Outbound,2
95,2023-04-01,Outbound,2
96,2023-04-01,Referral,2
97,2023-04-01,Outbound,1
98,2023-04-01,Paid Search,1
99,2023-04-01,Content,1
100,2023-04-01,Content,1
101,2023-04-01,Outbound,1
102,2023-04-01,Content,1
103,2023-04-01,Referral,1
104,2023-04-01,Partners,1
105,2023-04-01,Referral,1
106,2023-04-01,Referral,1
107,2023-04-01,Referral,2
108,2023-04-01,Partners,3
109,2023-04-01,Partners,1
110,2023-04-01,Content,1
111,2023-04-01,Partners,2
112,2023-04-01,Outbound,1
113,2023-04-01,Referral,2
114,2023-04-01,Paid Search,2
115,2023-04-01,Referral,2
116,2023-04-01,Referral,1
117,2023-04-01,Content,2
118,2023-04-01,Partners,1
119,2023-04-01,Paid Search,1
120,2023-04-01,Partners,2
121,2023-04-01,Content,1
122,2023-04-01,Content,2
123,2023-04-01,Outbound,2
124,2023-04-01,Partners,1
125,2023-04-01,Outbound,2
126,2023-04-01,Outbound,1
127,2023-04-01,Content,2
128,2023-04-01,Content,1
129,2023-04-01,Outbound,2
130,2023-04-01,Content,1
131,2023-04-01,Paid Search,2
132,2023-04-01,Paid Search,2
133,2023-04-01,Partners,1
134,2023-04-01,Paid Search,1
135,2023-04-01,Partners,3
136,2023-04-01,Content,2
137,2023-04-01,Partners,1
138,2023-04-01,Content,2
139,2023-04-01,Content,1
140,2023-04-01,Referral,2
141,2023-04-01,Outbound,1
142,2023-04-01,Referral,1
143,2023-05-01,Partners,1
144,2023-05-01,Content,2
145,2023-05-01,Paid Search,1
146,2023-05-01,Content,1
147,2023-05-01,Content,1
148,2023-05-01,Paid Search,2
149,2023-05-01,Content,1
150,2023-05-01,Referral,2
